순위,영화명,개봉일,매출액,가중치,매출액 점유율,관객수,스크린수,상영횟수,대표국적,제작국적,배급사,"장르","등급","러닝타임","수상횟수","관람평점","남자 평점","여자 평점"
48,회사원,2012-10-11,"8,321,175,000","54,337,272,750.00",0.60%,"1,110,523",549,"41,275",한국,한국,(주)쇼박스,액션,19,96,0,6.53,5.98,7.43
49,가디언즈,2012-11-29,"8,083,010,500","74,202,036,390.00",0.60%,"1,056,250",470,"21,045",미국,미국,(주)씨제이이엔엠,애니메이션,0,97,1,9.18,8.49,9.53
50,점박이:한반도의 공룡3D,2012-01-26,"9,681,445,500","74,063,058,075.00",0.70%,"1,050,852",457,"22,475",한국,한국,(주)씨제이이엔엠,애니메이션,0,90,0,7.65,7.14,8.44
51,본 레거시,2012-09-06,"7,412,233,000","52,997,465,950.00",0.50%,"1,015,711",585,"31,628",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15,135,0,7.15,6.88,7.81
52,가문의 영광5 - 가문의 귀환,2012-12-19,"7,245,056,500","43,760,141,260.00",0.50%,"1,012,223",447,"22,573",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,15,104,0,6.04,4.61,7.57
53,시체가 돌아왔다,2012-03-29,"7,360,631,000","54,615,882,020.00",0.50%,"986,923",435,"36,705",한국,한국,(주)씨제이이엔엠,범죄,15,110,0,7.42,6.83,8.11
54,원더풀 라디오,2012-01-05,"7,193,596,000","54,527,457,680.00",0.50%,"977,470",474,"29,167",한국,한국,(주)쇼박스,드라마,15,120,0,7.58,7.67,7.45
55,돈 크라이 마미,2012-11-22,"6,798,882,099","43,852,789,538.55",0.50%,"972,962",444,"29,539",한국,한국,(주)에스비에스콘텐츠허브,공포,15,91,0,6.45,6.51,6.43
56,프로메테우스,2012-06-06,"8,600,146,099","66,995,138,111.21",0.60%,"971,482",521,"31,629",미국,미국,이십세기폭스코리아(주),SF,19,123,0,7.79,7.91,7.45
57,스텝업4 : 레볼루션,2012-08-15,"7,157,894,000","62,846,309,320.00",0.50%,"953,871",281,"23,522",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,로맨스,12,98,0,8.78,8.66,9
58,점쟁이들,2012-10-03,"6,731,202,500","39,310,222,600.00",0.50%,"953,682",479,"31,577",한국,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15,119,0,5.84,5.01,6.7
59,타이탄의 분노,2012-03-29,"7,591,124,500","52,226,936,560.00",0.50%,"893,027",535,"33,580",미국,미국,워너브러더스 코리아(주),액션,12,99,0,6.88,6.59,7.62
60,디스 민즈 워,2012-02-29,"6,661,435,000","54,623,767,000.00",0.50%,"873,396",351,"32,790",미국,미국,이십세기폭스코리아(주),액션,15,97,0,8.2,7.69,8.69
61,미확인 동영상 : 절대클릭금지,2012-05-30,"5,939,840,500","36,411,222,265.00",0.40%,"867,386",361,"25,059",한국,한국,(주)쇼박스,공포,15,93,0,6.13,5.85,6.57
62,존 카터: 바숨 전쟁의 서막,2012-03-08,"7,229,870,500","55,019,314,505.00",0.50%,"838,126",508,"30,760",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,SF,12,132,0,7.61,7.46,8.02
63,나는 왕이로소이다,2012-08-08,"5,455,343,404","40,533,201,491.72",0.40%,"790,181",471,"21,898",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,12,120,0,7.43,6.58,8.17
64,토르: 마법망치의 전설,2012-02-09,"5,550,797,500","31,139,973,975.00",0.40%,"768,426",383,"18,742",아이슬란드,아이슬란드,"롯데쇼핑㈜롯데엔터테인먼트,(주)스마일이엔티",애니메이션,0,83,0,5.61,4.56,6.9
65,스노우 화이트 앤 더 헌츠맨,2012-05-30,"4,646,250,000","34,475,175,000.00",0.30%,"636,631",447,"20,647",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,12,127,1,7.42,7.13,7.82
66,주먹왕 랄프,2012-12-19,"4,473,562,000","41,827,804,700.00",0.30%,"616,863",361,"9,560",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,0,108,1,9.35,9.31,9.55
67,미쓰GO,2012-06-21,"4,441,859,000","22,919,992,440.00",0.30%,"611,685",440,"24,851",한국,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15,115,0,5.16,4.35,6.05
68,헝거게임: 판엠의 불꽃,2012-04-05,"4,478,418,000","32,244,609,600.00",0.30%,"607,956",514,"24,924",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,판타지,15,142,6,7.2,6.5,8.13
69,맨 온 렛지,2012-02-22,"4,393,531,500","32,116,715,265.00",0.30%,"591,841",408,"22,440",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,공포,15,102,0,7.31,7.15,7.7
70,파파,2012-02-01,"4,000,072,000","32,560,586,080.00",0.30%,"587,291",414,"24,767",한국,"한국,미국",롯데쇼핑㈜롯데엔터테인먼트,코미디,12,118,0,8.14,8,8.31
71,백설공주,2012-05-03,"4,097,396,000","30,607,548,120.00",0.30%,"585,473",386,"20,746",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,드라마,0,108,0,7.47,6.85,7.76
72,다크 섀도우,2012-05-10,"4,326,459,000","25,526,108,100.00",0.30%,"582,126",394,"18,978",미국,미국,워너브러더스 코리아(주),로맨스,15,112,0,5.9,5.9,5.88
73,루퍼,2012-10-11,"4,265,566,000","34,252,494,980.00",0.30%,"571,922",386,"23,599",미국,미국,(주)에스비에스콘텐츠허브,SF,19,119,1,8.03,7.55,8.68
74,레지던트 이블 5 : 최후의 심판,2012-09-13,"4,757,460,500","27,831,143,925.00",0.30%,"558,433",368,"24,599",미국,"미국,독일",한국소니픽쳐스릴리징브에나비스타영화㈜,액션,19,95,0,5.85,5.53,6.91
75,명탐정 코난: 11번째 스트라이커,2012-07-19,"3,363,777,000","28,995,757,740.00",0.20%,"524,914",350,"10,687",일본,일본,(주)씨제이이엔엠,애니메이션,12,110,0,8.62,7.91,9.21
76,아부의 왕,2012-06-21,"3,511,102,500","19,872,840,150.00",0.20%,"497,880",428,"22,060",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,15,118,0,5.66,5.18,6.44
77,페이스메이커,2012-01-18,"3,443,753,000","30,442,776,520.00",0.20%,"467,697",412,"21,875",한국,한국,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",드라마,12,124,0,8.84,8.63,9.26
78,락아웃: 익스트림미션,2012-06-14,"3,373,780,000","21,895,832,200.00",0.20%,"462,176",374,"22,172",미국,"미국,프랑스",롯데쇼핑㈜롯데엔터테인먼트,SF,15,94,0,6.49,6,7.58
79,익스펜더블 2,2012-09-06,"3,208,867,228","24,676,188,983.32",0.20%,"444,434",393,"20,126",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15,100,0,7.69,7.71,7.8
80,밀레니엄 : 여자를 증오한 남자들,2012-01-11,"3,504,509,000","28,421,567,990.00",0.20%,"443,889",321,"12,004",미국,"미국,스웨덴,영국,독일",한국소니픽쳐스릴리징브에나비스타영화㈜,공포,19,158,6,8.11,8.01,8.28
81,두 개의 달,2012-07-12,"2,949,348,748","20,733,921,698.44",0.20%,"426,706",347,"16,810",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,공포,15,86,0,7.03,6.83,7.31
82,늑대소년-확장판,2012-12-06,"2,868,180,500","24,838,443,130.00",0.20%,"414,064",278,"11,436",한국,한국,(주)씨제이이엔엠,로맨스,15,125,4,8.66,7.53,9.25
83,크로니클,2012-03-15,"2,884,776,000","21,981,993,120.00",0.20%,"384,398",324,"20,957",미국,미국,이십세기폭스코리아(주),드라마,15,83,0,7.62,7.52,7.86
84,링컨: 뱀파이어 헌터,2012-08-30,"2,750,911,500","18,733,707,315.00",0.20%,"344,876",337,"16,372",미국,미국,이십세기폭스코리아(주),액션,19,105,0,6.81,6.68,7.2
85,음치 클리닉,2012-11-29,"2,248,238,000","15,580,289,340.00",0.20%,"338,168",360,"16,243",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,로맨스,12,124,0,6.93,6.79,7.21
86,무서운 이야기,2012-07-25,"2,452,368,566","16,430,869,392.20",0.20%,"331,760",274,"10,268",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,공포,19,108,0,6.7,6.26,7.32
87,극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,2012-12-19,"1,281,250,750","10,429,381,105.00",0.10%,"329,560",275,"5,943",일본,일본,(주)씨제이이엔엠,애니메이션,0,93,0,8.14,7.76,8.92
88,모모와 다락방의 수상한 요괴들,2012-07-05,"1,988,264,000","16,104,938,400.00",0.10%,"300,174",253,"7,084",일본,일본,타임스토리그룹(주),애니메이션,0,120,0,8.1,7.81,8.38
89,빌리와 용감한 녀석들 3D,2012-08-08,"1,961,802,000","13,987,648,260.00",0.10%,"299,628",241,"7,176",독일,독일,(주)에스비에스콘텐츠허브,애니메이션,0,93,0,7.13,6.42,8.05
90,로렉스,2012-05-03,"2,153,198,000","18,495,970,820.00",0.20%,"298,780",463,"7,843",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,0,86,0,8.59,7.88,9.18
91,위험한 관계,2012-10-11,"2,122,666,230","17,002,556,502.30",0.10%,"298,086",334,"17,886",한국,"한국,중국",(주)씨제이이엔엠,로맨스,19,111,1,8.01,8.22,7.92
92,더 그레이,2012-02-16,"2,198,959,500","16,931,988,150.00",0.20%,"292,217",298,"12,002",미국,"미국,캐나다",(주)팝파트너스,액션,15,116,0,7.7,7.6,8.07
93,네버엔딩 스토리,2012-01-18,"2,106,823,000","15,674,763,120.00",0.10%,"283,449",269,"13,651",한국,한국,(주)화앤담이엔티,로맨스,15,114,1,7.44,7.44,7.48
94,우리는 동물원을 샀다,2012-01-18,"1,993,190,500","17,719,463,545.00",0.10%,"276,334",235,"10,457",미국,미국,이십세기폭스코리아(주),코미디,0,124,0,8.89,8.86,9.04
95,극장판 포켓몬스터 베스트위시「메로엣타의 반짝반짝 음악회」,2012-12-19,"916,970,250","7,363,271,107.50",0.10%,"273,298",237,"4,729",일본,일본,,애니메이션,0,94,0,8.03,7.55,7.6
96,짱구는 못말려 극장판: 태풍을 부르는 황금스파이 대작전,2012-04-26,"1,804,032,000","14,576,578,560.00",0.10%,"272,062",295,"5,989",일본,일본,롯데쇼핑㈜롯데엔터테인먼트,애니메이션,0,107,0,8.08,7.72,8.75
97,가비,2012-03-15,"1,969,360,500","13,509,813,030.00",0.10%,"270,602",339,"17,388",한국,한국,(주)시네마서비스,드라마,15,115,2,6.86,6.46,7.28
98,19곰 테드,2012-09-27,"2,034,959,293","15,486,040,219.73",0.10%,"266,574",248,"10,374",미국,미국,유니버설픽쳐스인터내셔널 코리아(유),코미디,19,106,1,7.61,7.86,7.4
99,니코: 산타비행단의 모험,2012-12-25,"1,676,033,500","13,961,359,055.00",0.10%,"243,062",306,"3,824",핀란드,"핀란드,덴마크,아일랜드,독일",씨너스엔터테인먼트(주),애니메이션,0,76,0,8.33,7.12,8.93
100,잠베지아: 신비한 나무섬의 비밀,2012-12-25,"1,754,592,000","15,264,950,400.00",0.10%,"240,603",273,"4,343",남아프리카공화국,"남아프리카공화국,미국",롯데쇼핑㈜롯데엔터테인먼트,애니메이션,0,83,0,8.7,7.45,9.18
1,7번방의 선물,2013-01-23,"91,431,914,670","806,429,487,389.40",6.10%,"12,811,206",866,"166,815",한국,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15,127,11,8.82,8.25,9.34
2,설국열차,2013-08-01,"67,010,087,500","548,142,515,750.00",4.50%,"9,349,993","1,128","124,823",한국,"한국,체코",(주)씨제이이엔엠,SF,15,125,15,8.18,8.18,8.19
3,관상,2013-09-11,"66,002,872,000","530,003,062,160.00",4.40%,"9,134,238","1,240","125,064",한국,한국,(주)쇼박스,드라마,15,139,13,8.03,7.75,8.38
4,아이언맨 3,2013-04-25,"70,806,364,000","635,841,148,720.00",4.70%,"9,001,331","1,389","163,584",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),SF,12,129,3,8.98,9.09,8.67
5,베를린,2013-01-30,"52,355,568,637","410,991,213,800.45",3.50%,"7,166,290",894,"111,744",한국,"한국,독일",(주)씨제이이엔엠,액션,15,120,8,7.85,7.51,8.27
6,은밀하게 위대하게,2013-06-05,"48,700,887,413","347,237,327,254.69",3.20%,"6,959,083","1,341","117,461",한국,한국,(주)쇼박스,액션,15,123,4,7.13,5.25,8.44
7,변호인,2013-12-18,"40,953,398,000","380,866,601,400.00",2.70%,"5,687,047",923,"55,006",한국,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15,127,32,9.3,9.25,9.35
8,숨바꼭질,2013-08-14,"39,602,977,500","266,528,038,575.00",2.60%,"5,604,103",779,"88,062",한국,한국,(주)넥스트엔터테인먼트월드(NEW),공포,15,107,3,6.73,5.72,7.86
9,더 테러 라이브,2013-07-31,"39,869,706,381","330,918,562,962.30",2.60%,"5,584,139",809,"93,488",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,공포,15,97,77,8.3,7.77,8.92
10,감시자들,2013-07-03,"39,380,162,179","305,590,058,509.04",2.60%,"5,508,017",949,"100,309",한국,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,15,119,4,7.76,7.32,8.38
11,월드 워 Z,2013-06-20,"38,555,356,000","346,998,204,000.00",2.60%,"5,237,525",964,"100,823",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,드라마,15,115,2,9,9,9.05
12,신세계,2013-02-21,"34,881,330,905","311,839,098,290.70",2.30%,"4,682,492",671,"90,580",한국,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,19,134,5,8.94,8.81,9.26
13,박수건달,2013-01-09,"28,343,986,569","230,436,610,805.97",1.90%,"3,893,216",603,"60,585",한국,한국,(주)쇼박스,코미디,15,127,1,8.13,7.62,8.67
14,스파이,2013-09-05,"24,508,317,805","170,087,725,566.70",1.60%,"3,435,672",785,"72,791",한국,"한국,태국",(주)씨제이이엔엠,코미디,15,121,0,6.94,5.81,8.06
15,그래비티,2013-10-17,"31,214,018,600","290,290,372,980.00",2.10%,"3,194,693",636,"80,584",미국,미국,"(주)스튜디오디에이치엘,주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",SF,12,90,36,9.3,9.35,9.23
16,감기,2013-08-14,"21,774,884,000","150,682,197,280.00",1.40%,"3,117,859",806,"55,046",한국,한국,아이러브시네마,드라마,15,121,0,6.92,6.66,7.38
17,토르: 다크 월드,2013-10-30,"22,525,808,500","188,090,500,975.00",1.50%,"3,039,889",733,"78,095",미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,12,112,0,8.35,7.96,9.1
18,레드: 더 레전드,2013-07-18,"21,511,371,970","172,306,089,479.70",1.40%,"3,004,649",739,"55,733",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15,115,0,8.01,7.65,8.59
19,친구 2,2013-11-14,"21,795,237,513","135,130,472,580.60",1.40%,"2,969,900",968,"69,856",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,액션,19,124,2,6.2,5.78,7.4
20,어바웃 타임,2013-12-05,"20,908,973,000","193,408,000,250.00",1.40%,"2,856,065",568,"49,967",영국,영국,유니버설픽쳐스인터내셔널 코리아(유),로맨스,15,123,2,9.25,9.32,9.18
21,나우 유 씨 미 : 마술사기단,2013-08-22,"19,146,691,869","154,130,869,545.45",1.30%,"2,718,227",691,"54,658",미국,미국,롯데쇼핑㈜롯데엔터테인먼트,범죄,12,115,0,8.05,7.88,8.38
